Misc,playerID,birthYear,birthCountry,birthCity,deathYear,deathCountry,deathCity,nameFirst,nameLast,Birthplace,geoname_id,continent_code,country_iso_code,country_name,city_name,registered_country_geoname_id,latitude,longitude
27055,hollobo01,1923,United States,Thomaston,1987,USA,Athens,Bobo,Holloman,United States Thomaston,4226364,,US,United States,Thomaston,6252001,32.9015,-84.3324
27059,holloji01,1908,United States,Plaquemine,1997,USA,Baton Rouge,Jim,Holloway,United States Plaquemine,4337436,,US,United States,Plaquemine,6252001,30.2684,-91.2524
27061,hollyed01,1879,United States,Chicago,1973,USA,Williamsport,Ed,Holly,United States Chicago,4887398,,US,United States,Chicago,6252001,41.8777,-87.6376
27062,hollyje01,1953,United States,San Pedro,,,,Jeff,Holly,United States San Pedro,5392528,,US,United States,San Pedro,6252001,33.7329,-118.2951
27063,holmabr01,1965,United States,Denver,,,,Brian,Holman,United States Denver,4463523,,US,United States,Denver,6252001,35.4837,-80.9898
27067,holmabr02,1968,United States,Kansas City,,,,Brad,Holman,United States Kansas City,4273837,,US,United States,Kansas City,6252001,39.0661,-94.6288
27069,holmaga01,1944,United States,Long Beach,,,,Gary,Holman,United States Long Beach,4434069,,US,United States,Long Beach,6252001,30.3598,-89.1646
27073,holmasc01,1958,United States,Santa Paula,,,,Scott,Holman,United States Santa Paula,5393245,,US,United States,Santa Paula,6252001,34.3547,-119.0713
27074,holmash01,1964,United States,Sewickley,,,,Shawn,Holman,United States Sewickley,5211506,,US,United States,Sewickley,6252001,40.557,-80.1578
27075,holmbda01,1991,United States,Houston,,,,David,Holmberg,United States Houston,4430529,,US,United States,Houston,6252001,33.9026,-88.967
27078,holmbi01,1912,United States,Chicago,1977,USA,East Chicago,Billy,Holm,United States Chicago,4887398,,US,United States,Chicago,6252001,41.8777,-87.6376
27079,holmech01,1896,United States,Charleston,1954,USA,Camden,Chick,Holmes,United States Charleston,4105377,,US,United States,Charleston,6252001,35.3115,-94.0337
27088,holmecl01,1993,United States,Dothan,,,,Clay,Holmes,United States Dothan,4059102,,US,United States,Dothan,6252001,31.1498,-85.369
27089,holmeda01,1966,United States,Asheville,,,,Darren,Holmes,United States Asheville,4453066,,US,United States,Asheville,6252001,35.6004,-82.4918
27090,holmedu01,1869,United States,Des Moines,1932,USA,Truro,Ducky,Holmes,United States Des Moines,4853828,,US,United States,Des Moines,6252001,41.5369,-93.6219
27092,holmedu02,1883,United States,Dayton,1945,USA,Dayton,Ducky,Holmes,United States Dayton,4289629,,US,United States,Dayton,6252001,39.1114,-84.4712
27104,holmefr01,1878,United States,Chicago,1956,USA,Norwood Park,Fred,Holmes,United States Chicago,4887398,,US,United States,Chicago,6252001,41.8777,-87.6376
27105,holmeji01,1881,United States,Lawrenceburg,1960,USA,Jacksonville,Jim,Holmes,United States Lawrenceburg,4260223,,US,United States,Lawrenceburg,6252001,39.1401,-84.8658
27108,holmeto01,1917,United States,Brooklyn,2008,USA,Boca Raton,Tommy,Holmes,United States Brooklyn,4349594,,US,United States,Brooklyn,6252001,39.2259,-76.6153
27114,holmst01,1979,United States,Sacramento,,,,Steve,Holm,United States Sacramento,4307057,,US,United States,Sacramento,6252001,37.4177,-87.2736
27117,holshhe01,1907,United States,Rockwell,1994,USA,Concord,Herm,Holshouser,United States Rockwell,4488600,,US,United States,Rockwell,6252001,35.5494,-80.4226
27119,holtbr01,1988,United States,Fort Worth,,,,Brock,Holt,United States Fort Worth,4691930,,US,United States,Fort Worth,6252001,32.7065,-97.3375
27120,holtch01,1971,United States,Dallas,,,,Chris,Holt,United States Dallas,4190598,,US,United States,Dallas,6252001,33.8992,-84.8572
27126,holtgve01,1942,United States,Aviston,,,,Vern,Holtgrave,United States Aviston,4233090,,US,United States,Aviston,6252001,38.6089,-89.6034
27127,holtji01,1944,United States,Graham,,,,Jim,Holt,United States Graham,4293090,,US,United States,Graham,6252001,37.2467,-87.2976
27132,holtobr01,1959,United States,McKeesport,,,,Brian,Holton,United States McKeesport,5200499,,US,United States,McKeesport,6252001,40.3478,-79.8642
