,flags,country
149,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg,Samoa
150,https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_San_Marino.svg,San_Marino
151,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg,Sao_Tome_and_Principe
152,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,Saudi_Arabia
153,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,Senegal
154,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,Serbia
155,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Seychelles.svg,Seychelles
156,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,Sierra_Leone
157,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg,Singapore
158,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg,Slovakia
159,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg,Slovenia
160,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg,the_Solomon_Islands
161,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg,Somalia
162,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,South_Africa
163,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg,South_Sudan
164,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,Spain
165,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg,Sri_Lanka
166,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg,Sudan
167,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg,Suriname
168,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden
169,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Switzerland.svg,Switzerland
170,https://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Syria.svg,Syria
171,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg,Tajikistan
172,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg,Tanzania
173,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg,Thailand
174,https://upload.wikimedia.org/wikipedia/commons/6/68/Flag_of_Togo.svg,Togo
175,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg,Tonga
176,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg,Trinidad_and_Tobago
177,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,Tunisia
178,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,Turkey
179,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg,Turkmenistan
180,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg,Tuvalu
181,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg,Uganda
182,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,Ukraine
183,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg,the_United_Arab_Emirates
184,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,the_United_Kingdom
185,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,the_United_States
186,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,Uruguay
187,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg,Uzbekistan
188,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg,Vanuatu
189,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_the_Vatican_City.svg,the_Vatican_City
190,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg,Venezuela
191,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,Vietnam
192,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg,Yemen
193,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg,Zambia
194,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Zimbabwe.svg,Zimbabwe
195,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_the_Republic_of_Abkhazia.svg,the_Republic_of_Abkhazia
196,https://upload.wikimedia.org/wikipedia/commons/3/3d/Flag_of_Artsakh.svg,Artsakh
197,https://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_the_Cook_Islands.svg,the_Cook_Islands
198,https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kosovo.svg,Kosovo
199,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Niue.svg,Niue
200,https://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg,the_Turkish_Republic_of_Northern_Cyprus
201,https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_the_Sahrawi_Arab_Democratic_Republic.svg,the_Sahrawi_Arab_Democratic_Republic
202,https://upload.wikimedia.org/wikipedia/commons/4/4d/Flag_of_Somaliland.svg,Somaliland
203,https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_South_Ossetia.svg,South_Ossetia
204,https://upload.wikimedia.org/wikipedia/commons/7/72/Flag_of_the_Republic_of_China.svg,the_Republic_of_China
205,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Transnistria_%28state%29.svg,Transnistria_
